Player,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Altura,Pie,Valor de mercado
Naouirou Ahamada,Crystal Palace,21.0,2002.0,3.9,9.0,2.3,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.77,3.0,0.0,0.0,0.0,0.0,0.0,"1,83m",Derecho,8.00 
Julian Alvarez,Manchester City,23.0,2000.0,29.4,118.0,4.01,74.0,28.0,4.0,10.0,2.0,0.0,15.0,0.51,12.0,1.0,0.0,0.0,2.0,0.0,"1,70m",Derecho,90.00 
Jaidon Anthony,Bournemouth,23.0,1999.0,1.7,3.0,1.78,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,83m",Derecho,6.00 
Cameron Archer,Sheffield Utd,22.0,2001.0,20.4,49.0,2.41,32.0,0.0,9.0,5.0,1.0,2.0,4.0,0.2,2.0,0.0,1.0,1.0,0.0,0.0,"1,75m",Derecho,13.00 
Jordan Ayew,Crystal Palace,31.0,1991.0,28.3,72.0,2.55,40.0,5.0,5.0,7.0,12.0,3.0,12.0,0.42,10.0,0.0,1.0,0.0,1.0,0.0,"1,82m",Derecho,4.00 
Leon Bailey,Aston Villa,25.0,1997.0,23.0,97.0,4.22,70.0,7.0,9.0,7.0,3.0,1.0,11.0,0.48,7.0,1.0,1.0,2.0,0.0,0.0,"1,78m",Izquierdo,42.00 
Jean-Ricner Bellegarde,Wolves,25.0,1998.0,10.6,30.0,2.81,20.0,2.0,6.0,1.0,1.0,0.0,2.0,0.19,1.0,0.0,1.0,0.0,0.0,0.0,"1,72m",Derecho,15.00 
Said Benrahma,West Ham,27.0,1995.0,6.9,26.0,3.77,23.0,0.0,3.0,0.0,0.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,"1,72m",Derecho,20.00 
Beto,Everton,25.0,1998.0,10.6,32.0,3.03,19.0,0.0,6.0,3.0,2.0,2.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,"1,94m",Derecho,20.00 
Oscar Bobb,Manchester City,20.0,2003.0,3.4,22.0,6.56,16.0,0.0,4.0,1.0,1.0,0.0,6.0,1.79,3.0,0.0,2.0,0.0,1.0,0.0,"1,75m",Izquierdo,25.00 
Armando Broja,Chelsea,21.0,2001.0,5.0,8.0,1.59,5.0,0.0,1.0,0.0,2.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,"1,91m",Derecho,22.00 
Armando Broja,Fulham,21.0,2001.0,1.0,1.0,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,91m",Derecho,22.00 
David Brooks,Bournemouth,26.0,1997.0,3.1,20.0,6.41,16.0,1.0,1.0,1.0,1.0,0.0,3.0,0.96,2.0,0.0,1.0,0.0,0.0,0.0,"1,73m",Izquierdo,8.00 
Mason Burstow,Chelsea,19.0,2003.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,87m",Derecho,1.80 
Dominic Calvert-Lewin,Everton,26.0,1997.0,24.1,54.0,2.24,37.0,0.0,4.0,7.0,4.0,2.0,6.0,0.25,3.0,0.0,0.0,3.0,0.0,0.0,"1,89m",Derecho,22.00 
Cesare Casadei,Chelsea,20.0,2003.0,0.9,4.0,4.62,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,92m",Derecho,10.00 
Tawanda Chirewa,Wolves,19.0,2003.0,1.6,3.0,1.86,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,81m",Derecho,0.5
Leon Chiwome,Wolves,17.0,2006.0,1.9,1.0,0.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,86m",,1.00 
Carney Chukwuemeka,Chelsea,19.0,2003.0,2.5,9.0,3.57,7.0,0.0,1.0,1.0,0.0,0.0,4.0,1.59,2.0,0.0,1.0,1.0,0.0,0.0,"1,88m",Derecho,15.00 
Philippe Coutinho,Aston Villa,31.0,1992.0,0.3,2.0,7.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,72m",Derecho,7.50 
Matheus Cunha,Wolves,24.0,1999.0,27.1,78.0,2.88,46.0,1.0,12.0,8.0,8.0,3.0,13.0,0.48,9.0,0.0,1.0,1.0,1.0,1.0,"1,83m",Derecho,45.00 
Arnaut Danjuma,Everton,26.0,1997.0,6.6,18.0,2.72,9.0,0.0,1.0,5.0,2.0,1.0,1.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,"1,78m",Derecho,13.00 
Jayden Danns,Liverpool,17.0,2006.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,83m",Derecho,1.00 
Josh Dasilva,Brentford,24.0,1998.0,0.3,1.0,3.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,84m",Izquierdo,10.00 
David Datro Fofana,Burnley,20.0,2002.0,9.8,18.0,1.84,8.0,0.0,4.0,4.0,1.0,1.0,2.0,0.2,0.0,0.0,2.0,0.0,0.0,0.0,"1,82m",Derecho,12.00 
Bobby De Cordova-Reid,Fulham,30.0,1993.0,15.8,35.0,2.17,29.0,0.0,1.0,3.0,0.0,2.0,4.0,0.25,3.0,0.0,0.0,0.0,0.0,1.0,"1,70m",Derecho,5.00 
Moussa Diaby,Aston Villa,24.0,1999.0,24.2,80.0,3.31,64.0,1.0,6.0,7.0,2.0,0.0,10.0,0.41,9.0,0.0,1.0,0.0,0.0,0.0,"1,70m",Izquierdo,55.00 
Luis Diaz,Liverpool,26.0,1997.0,29.2,163.0,5.58,121.0,1.0,17.0,15.0,8.0,1.0,9.0,0.31,9.0,0.0,0.0,0.0,0.0,0.0,"1,80m",Derecho,75.00 
Ben Doak,Liverpool,17.0,2005.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,73m",Derecho,10.00 
Jeremy Doku,Manchester City,21.0,2002.0,17.7,111.0,6.26,82.0,1.0,17.0,6.0,5.0,0.0,15.0,0.85,10.0,0.0,2.0,1.0,2.0,0.0,"1,73m",Derecho,65.00 
Abdoulaye Doucoure,Everton,30.0,1993.0,29.2,67.0,2.29,59.0,0.0,0.0,6.0,1.0,1.0,5.0,0.17,3.0,0.0,0.0,2.0,0.0,0.0,"1,83m",Derecho,10.00 
Odsonne Edouard,Crystal Palace,25.0,1998.0,17.3,45.0,2.6,29.0,0.0,7.0,7.0,1.0,1.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,"1,87m",Derecho,18.00 
Harvey Elliott,Liverpool,20.0,2003.0,15.0,78.0,5.19,61.0,9.0,2.0,3.0,1.0,2.0,10.0,0.67,6.0,1.0,1.0,0.0,1.0,1.0,"1,70m",Izquierdo,35.00 
Eberechi Eze,Crystal Palace,25.0,1998.0,22.8,110.0,4.82,54.0,27.0,11.0,7.0,10.0,1.0,11.0,0.48,8.0,0.0,1.0,0.0,2.0,0.0,"1,78m",Derecho,55.00 
